,lineage,tissue
crassa_BA_P1_sex,crassa_BA,sex
crassa_BA_P1_veg,crassa_BA,veg
crassa_BA_P2_sex,crassa_BA,sex
crassa_BA_P2_veg,crassa_BA,veg
crassa_BA_P3_sex,crassa_BA,sex
crassa_BA_P3_veg,crassa_BA,veg
crassa_sa_P1_sex,crassa_sa,sex
crassa_sa_P1_veg,crassa_sa,veg
crassa_sa_P2_sex,crassa_sa,sex
crassa_sa_P2_veg,crassa_sa,veg
crassa_sa_P3_sex,crassa_sa,sex
crassa_sa_P3_veg,crassa_sa,veg
L1_BA_P1_sex,L1_BA,sex
L1_BA_P1_veg,L1_BA,veg
L1_BA_P2_sex,L1_BA,sex
L1_BA_P2_veg,L1_BA,veg
L1_BA_P3_sex,L1_BA,sex
L1_BA_P3_veg,L1_BA,veg
L1_sa_P1_sex,L1_sa,sex
L1_sa_P1_veg,L1_sa,veg
L1_sa_P2_sex,L1_sa,sex
L1_sa_P2_veg,L1_sa,veg
L1_sa_P3_sex,L1_sa,sex
L1_sa_P3_veg,L1_sa,veg
L10_BA_P1_sex,L10_BA,sex
L10_BA_P1_veg,L10_BA,veg
L10_BA_P2_sex,L10_BA,sex
L10_BA_P2_veg,L10_BA,veg
L10_BA_P3_sex,L10_BA,sex
L10_BA_P3_veg,L10_BA,veg
L10_sa_P1_sex,L10_sa,sex
L10_sa_P1_veg,L10_sa,veg
L10_sa_P2_sex,L10_sa,sex
L10_sa_P2_veg,L10_sa,veg
L10_sa_P3_sex,L10_sa,sex
L10_sa_P3_veg,L10_sa,veg
L6_BA_P1_sex,L6_BA,sex
L6_BA_P1_veg,L6_BA,veg
L6_BA_P2_sex,L6_BA,sex
L6_BA_P2_veg,L6_BA,veg
L6_BA_P3_sex,L6_BA,sex
L6_BA_P3_veg,L6_BA,veg
L6_sa_P1_sex,L6_sa,sex
L6_sa_P1_veg,L6_sa,veg
L6_sa_P2_sex,L6_sa,sex
L6_sa_P2_veg,L6_sa,veg
L6_sa_P3_sex,L6_sa,sex
L6_sa_P3_veg,L6_sa,veg
sito_BA_P1_sex,sito_BA,sex
sito_BA_P1_veg,sito_BA,veg
sito_BA_P2_sex,sito_BA,sex
sito_BA_P2_veg,sito_BA,veg
sito_BA_P3_sex,sito_BA,sex
sito_BA_P3_veg,sito_BA,veg
sito_sa_P1_sex,sito_sa,sex
sito_sa_P1_veg,sito_sa,veg
sito_sa_P2_sex,sito_sa,sex
sito_sa_P2_veg,sito_sa,veg
sito_sa_P3_sex,sito_sa,sex
sito_sa_P3_veg,sito_sa,veg
